exec_date,id,side,price,size,buy_child_order_acceptance_id,sell_child_order_acceptance_id
2019-02-04T03:00:40.17,785250993,BUY,369427,0.01,JRF20190204-030040-500007,JRF20190204-030039-643755
2019-02-04T03:00:40.17,785250992,BUY,369427,0.025,JRF20190204-030040-500007,JRF20190204-030039-297610
2019-02-04T03:00:40.17,785250991,BUY,369427,0.01,JRF20190204-030040-500007,JRF20190204-030039-643669
2019-02-04T03:00:40.17,785250990,BUY,369427,0.1,JRF20190204-030040-500007,JRF20190204-030039-570410
2019-02-04T03:00:40.313,785250997,BUY,369427,0.01,JRF20190204-030040-097797,JRF20190204-030040-643785
2019-02-04T03:00:40.437,785250998,SELL,369428,0.01,JRF20190204-030040-097797,JRF20190204-030040-643845
2019-02-04T03:00:40.5,785250999,SELL,369428,0.01,JRF20190204-030040-097797,JRF20190204-030040-643873
2019-02-04T03:00:40.517,785251000,SELL,369428,0.08,JRF20190204-030040-097797,JRF20190204-030040-024919
2019-02-04T03:00:40.623,785251004,BUY,369433,0.24,JRF20190204-030040-482704,JRF20190204-030035-671925
2019-02-04T03:00:40.623,785251003,BUY,369430,0.01,JRF20190204-030040-482704,JRF20190204-030040-125434
2019-02-04T03:00:40.623,785251002,BUY,369429,0.25,JRF20190204-030040-482704,JRF20190204-030040-296730
2019-02-04T03:00:40.67,785251006,BUY,369433,0.042228550000000004,JRF20190204-030040-705067,JRF20190204-030035-747079
2019-02-04T03:00:40.67,785251005,BUY,369433,0.17777145,JRF20190204-030040-705067,JRF20190204-030035-671925
2019-02-04T03:00:40.717,785251008,BUY,369433,0.01,JRF20190204-030040-297614,JRF20190204-030035-747079
2019-02-04T03:00:40.717,785251007,BUY,369433,0.01,JRF20190204-030040-389162,JRF20190204-030035-747079
2019-02-04T03:00:40.733,785251010,BUY,369433,0.01,JRF20190204-030040-447876,JRF20190204-030035-747079
2019-02-04T03:00:40.733,785251009,BUY,369433,0.01,JRF20190204-030040-500013,JRF20190204-030035-747079
2019-02-04T03:00:40.75,785251012,BUY,369433,0.01,JRF20190204-030040-297616,JRF20190204-030035-747079
2019-02-04T03:00:40.75,785251011,BUY,369433,0.01,JRF20190204-030040-024924,JRF20190204-030035-747079
2019-02-04T03:00:40.767,785251013,BUY,369433,0.01,JRF20190204-030040-747128,JRF20190204-030035-747079
2019-02-04T03:00:40.813,785251014,BUY,369433,0.03370941,JRF20190204-030040-747129,JRF20190204-030035-747079
2019-02-04T03:00:40.827,785251016,BUY,369433,0.01,JRF20190204-030040-297615,JRF20190204-030035-747079
